case_id,product_name,color,rating,return_reason,customer_comment,edge_case_type,expected_agent_behavior
X001,LARS NYSØM Electric Salt and Pepper Grinder Set,Sage Green,,Unknown Reason,,missing_comment,Agent should warn that comment text is missing and rely on return_reason only.
X002,LARS NYSØM Electric Salt and Pepper Grinder Set,Pure White,5,,Good.,too_short_positive,Agent should avoid detailed defect claims and classify as unknown or positive_general.
X003,LARS NYSØM Electric Salt and Pepper Grinder Set,Butter Cream,2,Item is defective,No lo recomiendo uno se daño,non_english_short,Agent should either translate/flag non-English text and classify cautiously as stopped_working.
X004,LARS NYSØM Electric Salt and Pepper Grinder Set,Ash Gray,5,,Excellent product.,vague_positive,Agent should classify as positive_general with low detail.
X005,LARS NYSØM Electric Salt and Pepper Grinder Set,Sage Green,5,Item is defective,They worked less than three months; later I found the included charger was needed.,contradictory_or_updated,Agent should mark as charger_compatibility rather than definitive product failure.
X006,LARS NYSØM Electric Salt and Pepper Grinder Set,Butter Cream,3,Product quality issue,"Loved the design, but the salt grinder stopped charging on the base after a few weeks.",mixed_positive_negative,Agent should prioritize concrete defect category charging_base_failure and keep sentiment mixed/negative.
X007,LARS NYSØM Electric Salt and Pepper Grinder Set,Pure White,2,Product design issue,"Front button is easy to bump, compartments are small, and the base is hard to clean.",multi_issue,Agent should allow multiple secondary issues or choose strongest design issue.
X008,LARS NYSØM Electric Salt and Pepper Grinder Set,Ash Gray,,,Pepper gets stuck a lot.,missing_rating,Agent should still classify issue even if rating is missing.
X009,LARS NYSØM Electric Salt and Pepper Grinder Set,Sage Green,4,,Base charger is not working; I had to charge it separately.,clear_issue_no_reason,Agent should classify as charging_base_failure despite missing return_reason.
X010,LARS NYSØM Electric Salt and Pepper Grinder Set,Butter Cream,3,Item is defective,bad,too_vague_negative,"Agent should classify as unknown, not invent a specific defect."
X011,LARS NYSØM Electric Salt and Pepper Grinder Set,Ash Gray,1,Product quality issue,"Plastic and lightweight, tips over easily, and matte finish developed permanent oil spots.",two_defects,Agent should identify build_quality_issue and finish_staining_issue; primary could be build_quality_issue.
X012,LARS NYSØM Electric Salt and Pepper Grinder Set,Pure White,2,Charging issue,One charging station no longer works after several months; disappointing for the price.,price_quality_defect,"Agent should classify the actual defect as charging_base_failure, not just price complaint."
